channel_id,user_id
CMER_001,UMER_001
CMER_001,UMER_002
CMER_001,UMER_003
CMER_001,UMER_004
CMER_001,UMER_005
CMER_002,UMER_001
CMER_002,UMER_002
CMER_002,UMER_003
CMER_002,UMER_004
CMER_002,UMER_005
CMER_002,UMER_006
CMER_002,UMER_007
CMER_003,UMER_001
CMER_003,UMER_002
CMER_003,UMER_003
CMER_003,UMER_007
CMER_004,UMER_001
CMER_004,UMER_002
CMER_004,UMER_003
CMER_004,UMER_004
CMER_004,UMER_005
CMER_004,UMER_006
CMER_004,UMER_007
CMER_005,UMER_001
CMER_005,UMER_003
CMER_005,UMER_004
CMER_005,UMER_005
CMER_005,UMER_006
