comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
,yt_motorcitybbq_2026_results,,,SmokerKingDetroit,,Brisket category had a tough rule 4.3.b moment for one of the returning teams this year. Rules are rules.,84,2026-05-09T20:14:00Z,,published
,yt_motorcitybbq_2026_results,,yc_megan_001,MCBBQOfficial,,"Reply to SmokerKingDetroit: Confirmed, one brisket entry triggered the late turn-in rule and is recorded as a disqualification in the official scorecard.",128,2026-05-09T20:42:00Z,,published
,yt_motorcitybbq_2026_results,,,RibsOnly_Det,,"Ribs scorecard transcript from the read out: Briquette Royals 712.50, Smoke & Copper 698.43, Pit Boss Bros 691.10, Iron Skillet 684.20.",62,2026-05-09T20:55:00Z,,published
,yt_motorcitybbq_2026_results,,,PorkBBQfan,,"Pork scorecard transcript: Iron Skillet Crew 715.20, Pit Boss Bros 692.40, Smoke & Copper 678.21.",54,2026-05-09T21:05:00Z,,published
,yt_motorcitybbq_2026_results,,,ChickenChasersDet,,"Chicken scorecard transcript: Smoke & Copper 712.86, Iron Skillet 681.50, Briquette Royals 660.20.",78,2026-05-09T21:18:00Z,,published
,yt_motorcitybbq_2026_results,,,DetroitBBQscoreboard,,"Overall team standings 2026: 1 Iron Skillet, 2 Briquette Royals, 3 Pit Boss Bros, 4 Pit Mavericks, 5 Smoke & Copper, 6 Coal Country, 7 Brisket Brothers, 8 Backyard Royalty.",92,2026-05-09T21:30:00Z,,published
,yt_motorcitybbq_2026_results,,,BBQ_data_nerd,,"S&C brisket scored 692.40 this year before the late turn-in call - tough break. Source: judges chair pre-DQ tabulation.",36,2026-05-09T22:14:00Z,,published
,yt_motorcitybbq_2025_results,,,DetroitBBQscoreboard,,"2025 overall: 1 Iron Skillet, 2 Briquette Royals, 3 Pit Boss Bros, 4 Pit Mavericks, 5 Coal Country, 6 Brisket Brothers, 7 Backyard Royalty, 8 Smoke & Copper.",44,2025-05-11T20:30:00Z,,published
,yt_motorcitybbq_2025_results,,,RibsOnly_Det,,"2025 ribs read out: Smoke & Copper 684.43 in 5th, others above.",18,2025-05-11T20:42:00Z,,published
,yt_motorcitybbq_2025_results,,,PorkBBQfan,,2025 pork read out: Smoke & Copper 670.00.,14,2025-05-11T20:48:00Z,,published
,yt_motorcitybbq_2025_results,,,ChickenChasersDet,,2025 chicken read out: Smoke & Copper 694.86.,16,2025-05-11T20:55:00Z,,published
,yt_motorcitybbq_2025_results,,,BrisketWatcher,,2025 brisket read out: Smoke & Copper 705.00 in 3rd.,12,2025-05-11T21:00:00Z,,published
,yt_smokecopper_motorcity_2026_fullcook,,,DanteHawthorn,,Megan I trimmed the file at the brisket box hand off but the box did not make it inside the window. Footage shows it but no turn in moment registered.,4,2026-05-05T03:00:00Z,,published
