id,name,parent_id,owner_id,description,created_at,modified_at,item_count
fld_clearwater,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000001,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000002,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000003,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000004,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000005,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000006,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000007,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000008,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000009,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000010,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000011,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000012,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000013,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000014,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000015,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000016,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000017,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000018,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000019,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000020,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000021,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000022,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000023,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000024,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000025,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000026,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000027,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000028,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000029,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000030,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000031,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
fld_gen_000032,clearwater_grant_2026,0,u_ian,Clearwater grant 2026 workspace,2026-01-05T09:00:00-08:00,2026-03-01T10:00:00-08:00,1
