id,title,parent_page_id,created_time,last_edited_time,created_by,icon,archived
db_dac_sops,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_leather_inventory,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000001,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000002,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000003,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000004,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000005,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000006,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000007,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000008,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000009,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000010,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000011,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000012,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000013,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000014,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000015,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000016,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000017,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000018,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000019,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000020,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000021,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000022,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000023,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000024,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000025,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000026,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000027,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000028,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000029,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000030,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000031,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000032,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000033,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
db_gen_000034,Leathercraft — materials inventory,pg_leather_home,2025-01-13T08:00:00-07:00,2026-10-12T20:14:00-06:00,user_ian,🧵,False
db_gen_000035,DAC field SOPs,pg_dac_home,2024-03-12T10:00:00-06:00,2026-09-04T09:18:00-06:00,user_ian,📘,False
