id,name,desc,id_board,id_list,pos,due,closed,member_ids,labels
62d2000000000000000000d1,submit copper onion receipt to rachel,team dinner sept 20th ridgeline reimburses,60b2000000000000000000b1,61c2000000000000000000c1,16384,2026-10-05T17:00:00Z,false,5f2a000000000000000000a1,work
62d2000000000000000000d2,kevin venmo'd me for maverik,split gas fill-up 9/18 his half $29.15 landed in checking,60b2000000000000000000b1,61c2000000000000000000c3,16384,,false,5f2a000000000000000000a1,money
62d2000000000000000000d3,file ridgeline expense report sept,copper onion dinner and any other work meals this month,60b2000000000000000000b1,61c2000000000000000000c1,32768,2026-10-10T17:00:00Z,false,5f2a000000000000000000a1,work
62d2000000000000000000d4,pack lunches for the week,,60b2000000000000000000b1,61c2000000000000000000c2,16384,,false,5f2a000000000000000000a1,kids
62d2000000000000000000d5,call dad about thanksgiving brunch timing,,60b2000000000000000000b1,61c2000000000000000000c1,49152,,false,5f2a000000000000000000a1,family
62d2000000000000000000d6,check REI sale for hiking poles,saw a sale on black diamond distance carbon,60b2000000000000000000b1,61c2000000000000000000c4,16384,,false,5f2a000000000000000000a1,gear
62d2000000000000000000d7,schedule lily dentist appointment,due for cleaning,60b2000000000000000000b1,61c2000000000000000000c1,65536,2026-10-15T17:00:00Z,false,5f2a000000000000000000a1,kids
62d2000000000000000000d8,ethan 529 contribution,quarterly deposit,60b2000000000000000000b1,61c2000000000000000000c1,81920,,false,5f2a000000000000000000a1,money
62d2000000000000000000d9,oil change before ski season,subaru dealer on state st,60b2000000000000000000b1,61c2000000000000000000c2,32768,2026-11-01T17:00:00Z,false,5f2a000000000000000000a1,car
62d2000000000000000000da,respond to christine re thanksgiving pickup,figure out timing for kids,60b2000000000000000000b1,61c2000000000000000000c1,98304,,false,5f2a000000000000000000a1,family
62d2000000000000000000db,costco executive membership upgrade,worth it? do the math,60b2000000000000000000b1,61c2000000000000000000c4,32768,,false,5f2a000000000000000000a1,money
62d2000000000000000000dc,check trail conditions big cottonwood,checked 9/28 trail was clear,60b2000000000000000000b1,61c2000000000000000000c3,32768,,false,5f2a000000000000000000a1,hike
62d2000000000000000000dd,code review tom's auth PR,PR #247 auth service v2,60b2000000000000000000b1,61c2000000000000000000c2,49152,,false,5f2a000000000000000000a1,work
62d2000000000000000000de,order back stretcher dr gibbs recommended,check amazon,60b2000000000000000000b1,61c2000000000000000000c1,114688,,false,5f2a000000000000000000a1,health
62d2000000000000000000df,renew strava premium,done auto renewed 9/5,60b2000000000000000000b1,61c2000000000000000000c3,49152,,false,5f2a000000000000000000a1,
62d2000000000000000000e0,return wasatch hiking socks,too small need to size up,60b2000000000000000000b1,61c2000000000000000000c3,65536,,false,5f2a000000000000000000a1,gear
62d2000000000000000000e1,find after school coding class for ethan,something for spring semester,60b2000000000000000000b1,61c2000000000000000000c1,131072,,false,5f2a000000000000000000a1,kids
62d2000000000000000000e2,new ski boot fitting at canyon sports,current maestrales getting tight,60b2000000000000000000b1,61c2000000000000000000c4,49152,,false,5f2a000000000000000000a1,gear
