courseId,id,title,description,state,creationTime,updateTime,creatorUserId,topicId,alternateLink,materialType,materialUrl
PH206_S26,mat_PH206_001,PH 206 Spring 2026 Syllabus,Course syllabus with weekly schedule reading list and grading rubric for Introduction to Biostatistics for Public Health.,PUBLISHED,2026-01-12T08:30:00Z,2026-01-14T10:15:00Z,teacher_bhenderson,topic_PH206_admin,https://classroom.google.com/c/PH206_S26/m/mat_PH206_001,LINK,https://docs.google.com/document/d/ph206-syllabus-spring2026
PH206_S26,mat_PH206_002,Kleinbaum & Klein Survival Analysis Ch 2 Reading,Required reading: Chapter 2 Kaplan-Meier Survival Curves and the Log-Rank Test. Annotated PDF on reserve.,PUBLISHED,2026-04-22T09:00:00Z,2026-04-22T09:00:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_002,LINK,https://drive.google.com/file/d/kleinbaum_ch2_annotated
PH206_S26,mat_PH206_003,Lecture 11 Draft Slides - Kaplan-Meier Estimator,Draft slide deck for May 26 lecture. Covers KM estimator derivation censoring assumptions and worked example.,DRAFT,2026-05-18T22:14:00Z,2026-05-22T17:42:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_003,DRIVE_FILE,https://drive.google.com/file/d/Lec11_KM-Henderson.pdf
PH206_S26,mat_PH206_004,Lecture 10 Slides - Intro to Survival Analysis,Published slides from May 19 lecture covering survival function hazard function and time-to-event setup.,PUBLISHED,2026-05-11T22:00:00Z,2026-05-19T22:30:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_004,DRIVE_FILE,https://drive.google.com/file/d/ph206_lec10_survival_intro
PH206_S26,mat_PH206_005,Guest Lecture Recording - Dr. Reyes Pinecrest,Audio recording from Dr. Elena Reyes guest lecture at Pinecrest on KM estimator censoring mechanisms. Shared with permission.,PUBLISHED,2026-05-15T14:00:00Z,2026-05-15T14:00:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_005,DRIVE_FILE,https://drive.google.com/file/d/reyes_pinecrest_KM_lecture_audio
PH206_S26,mat_PH206_006,Annotated Textbook Pages - Censoring Section,Photographs of pp. 47-62 from Kleinbaum & Klein with my margin notes on independent censoring assumption.,PUBLISHED,2026-05-16T11:20:00Z,2026-05-16T11:20:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_006,DRIVE_FILE,https://drive.google.com/file/d/textbook_censoring_annotated_photos
PH206_S26,mat_PH206_007,R Code Companion - survival package walkthrough,R Markdown with survfit() examples on the veteran lung cancer dataset. Companion to Lecture 11.,PUBLISHED,2026-05-20T13:45:00Z,2026-05-20T13:45:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_007,DRIVE_FILE,https://drive.google.com/file/d/ph206_KM_R_walkthrough
PH206_S26,mat_PH206_008,Lecture 11 Draft Slides - Kaplan-Meier Estimator,Draft slide deck for May 26 lecture.,DRAFT,2026-05-14T19:00:00Z,2026-05-14T19:00:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_008,DRIVE_FILE,https://drive.google.com/file/d/Lec11_KM-Henderson%20%281%29.pdf
PH206_S26,mat_PH206_009,Office Hours Sign-up Sheet,Sign-up for additional office hours before final exam. First-gen student priority slots Monday 4-6 PM.,PUBLISHED,2026-05-04T10:00:00Z,2026-05-04T10:00:00Z,teacher_bhenderson,topic_PH206_admin,https://classroom.google.com/c/PH206_S26/m/mat_PH206_009,LINK,https://docs.google.com/spreadsheets/d/ph206_OH_signup
PH206_S26,mat_PH206_010,Practice Problem Set - Survival Curves,Five practice problems on constructing KM curves by hand. Solutions posted after lecture.,PUBLISHED,2026-05-21T16:00:00Z,2026-05-21T16:00:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_010,LINK,https://docs.google.com/document/d/ph206_KM_practice_problems
PH206_S26,mat_PH206_011,Lecture 8 Slides - Logistic Regression,Published slides from logistic regression unit covering odds ratios link function and interpretation.,PUBLISHED,2026-03-23T22:00:00Z,2026-03-24T22:30:00Z,teacher_bhenderson,topic_PH206_regression,https://classroom.google.com/c/PH206_S26/m/mat_PH206_011,DRIVE_FILE,https://drive.google.com/file/d/ph206_lec08_logistic
