channel_id,user_id
C_CLINIC_FLOOR,U_MIDORI_K
C_CLINIC_FLOOR,U_WHITFIELD_K
C_CLINIC_FLOOR,U_LINA_A
C_CLINIC_FLOOR,U_CAROL_B
C_CLINIC_FLOOR,U_DR_PATEL
C_CLINIC_FLOOR,U_DR_MARSH
C_CLINIC_FLOOR,U_TECH_BREE
C_CLINIC_FLOOR,U_TECH_DANNY
C_AMBULATORY,U_MIDORI_K
C_AMBULATORY,U_WHITFIELD_K
C_AMBULATORY,U_LINA_A
C_AMBULATORY,U_DR_MARSH
C_AMBULATORY,U_TECH_DANNY
C_ONCALL,U_MIDORI_K
C_ONCALL,U_WHITFIELD_K
C_ONCALL,U_LINA_A
C_ONCALL,U_DR_PATEL
C_ONCALL,U_DR_MARSH
C_ONCALL,U_TECH_BREE
C_VENDOR_ORDERS,U_MIDORI_K
C_VENDOR_ORDERS,U_WHITFIELD_K
C_VENDOR_ORDERS,U_CAROL_B
C_VENDOR_ORDERS,U_TECH_BREE
C_VENDOR_ORDERS,U_VENDORBOT
C_RANDOM,U_MIDORI_K
C_RANDOM,U_WHITFIELD_K
C_RANDOM,U_LINA_A
C_RANDOM,U_CAROL_B
C_RANDOM,U_DR_PATEL
C_RANDOM,U_DR_MARSH
C_RANDOM,U_TECH_BREE
C_RANDOM,U_TECH_DANNY
C_DM_LINA_MIDORI,U_MIDORI_K
C_DM_LINA_MIDORI,U_LINA_A
