id,business_id,rating,text,user_name,time_created
rv_201,biz_lc_chope,5,Red chile is the real deal still.,Ian S.,2026-09-12T18:30:00
rv_198,biz_lc_caliche,5,Diego inhaled the green chile sundae.,Ian S.,2026-08-30T19:45:00
rv_192,biz_lc_andele,4,Solid sopapillas and the salsa bar is fun.,Ian S.,2026-07-18T20:10:00
rv_gen_000001,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #1. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000002,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #2. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000003,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #3. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000004,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #4. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000005,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #5. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000006,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #6. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000007,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #7. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000008,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #8. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000009,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #9. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000010,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #10. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000011,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #11. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000012,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #12. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000013,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #13. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000014,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #14. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000015,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #15. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000016,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #16. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000017,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #17. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000018,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #18. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000019,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #19. Solid spot.",Ian S.,2026-09-12T18:30:00
rv_gen_000020,biz_lc_caliche,5,"Visited around the Mesilla Valley, stop #20. Solid spot.",Ian S.,2026-08-30T19:45:00
rv_gen_000021,biz_lc_andele,4,"Visited around the Mesilla Valley, stop #21. Solid spot.",Ian S.,2026-07-18T20:10:00
rv_gen_000022,biz_lc_chope,5,"Visited around the Mesilla Valley, stop #22. Solid spot.",Ian S.,2026-09-12T18:30:00
